Model,Ligand,Spearman,Significance,RMSE
CatBoost,AvrPikC,0.809528233,2.23E-48,0.314424414
Linear Regression,AvrPikC,0.828883083,1.34E-52,0.310253361
SVR,AvrPikC,0.702831967,1.48E-31,0.387863491
Finetuned ESM-2,AvrPikC,0.867815855,5.73E-63,0.26736179
CatBoost,AvrPikF,0.769519235,1.28E-40,0.406409116
Linear Regression,AvrPikF,0.803623537,9.88E-47,0.353452973
SVR,AvrPikF,0.574249679,4.99E-19,0.573397219
Finetuned ESM-2,AvrPikF,0.855387386,9.31E-59,0.296559907
